Rank,Country,GDI,HDI-Female,HDI-Male,Life_exp_years_F,Life_exp_years_M,Expceted_years of_schooling_F,Expceted_years of_schooling_M,Mean_year_of _schooling_F,Mean_year_of _schooling_M,Per_capita_income_F(USD),Per_capita_income_M(USD)
169,South Sudan,..,..,..,56.7,54.7,..,..,4.5,5.8,..,..
170,Senegal,0.883,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,"1,657","2,739"
171,Afghanistan,0.6,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506,"3,227"
172,Cote d'Ivoire,0.81,0.41,0.507,52.4,50.7,7.9,10,3.2,5.3,"2,146","4,157"
173,Malawi,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679,815
174,Ethiopia,0.84,0.403,0.479,66,62.2,8,9,1.4,3.6,"1,090","1,765"
175,Gambia,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2,3.7,"1,267","1,753"
176,Congo (Democratic Republic of the),0.833,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597,765
177,Liberia,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678,930
178,Guinea-Bissau,..,..,..,57,53.4,..,..,..,..,"1,135","1,593"
179,Mali,0.776,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961,"2,195"
180,Mozambique,0.881,0.39,0.443,56.5,53.6,8.8,9.8,2.4,4.3,"1,040","1,210"
181,Sierra Leone,0.814,0.37,0.454,51.4,50.4,7.2,10,2.2,4,"1,582","1,981"
182,Guinea,0.778,0.358,0.46,59.2,58.3,7.3,10,1.4,3.7,877,"1,314"
183,Burkina Faso,0.881,0.376,0.427,59.9,57.3,7.4,8.1,1,1.9,"1,325","1,859"
184,Burundi,0.911,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693,825
185,Chad,0.768,0.338,0.44,52.7,50.5,5.9,8.9,1,2.9,"1,657","2,513"
186,Eritrea,..,..,..,65.9,61.6,..,..,..,..,971,"1,290"
187,Central African Republic,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476,689
188,Niger,0.729,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2,491,"1,319"
